iter	Accuracy	MultiClass
0	0.3803781594	2.515644972
1	0.4812367355	2.263086277
2	0.5035693614	2.082664895
3	0.5031834845	1.962869899
4	0.513843334	1.85795547
5	0.5119139495	1.777324908
6	0.5214161682	1.69550167
7	0.5458228825	1.618176686
8	0.5616438356	1.556973368
9	0.5920798765	1.511030842
10	0.6250241173	1.439550348
11	0.6420027011	1.385134262
12	0.6449450125	1.344190706
13	0.6486590778	1.300298433
14	0.6615377195	1.267546754
15	0.6852209145	1.216087581
16	0.6856067914	1.19007895
17	0.6969901601	1.149393148
18	0.7011865715	1.130321634
19	0.7064923789	1.104291524
20	0.7153675478	1.079608874
21	0.7183098592	1.054807144
22	0.7206733552	1.03206509
23	0.7258826934	1.013131685
24	0.7329249469	0.9964005862
25	0.7329249469	0.9822838599
26	0.7351919738	0.9686454289
27	0.7381825198	0.9458270653
28	0.7435365618	0.9294093031
29	0.7450318348	0.9188499738
30	0.747009454	0.9035854145
31	0.752749373	0.8855633803
32	0.7532317191	0.8757597894
33	0.7593092803	0.863416533
34	0.764084507	0.8517813457
35	0.764084507	0.8375275465
36	0.7691491414	0.8264004242
37	0.7690044376	0.816888973
38	0.7732490835	0.8063944589
39	0.7750819988	0.7986036268
40	0.7774454949	0.7892766824
41	0.7786031256	0.7802126261
42	0.7913852981	0.7708359398
43	0.7924946942	0.7633304173
44	0.7960640556	0.7468000291
45	0.7972216863	0.7394101472
46	0.7991028362	0.7304093988
47	0.8023827899	0.723548873
48	0.8037333591	0.7185788236
49	0.8062415589	0.708008943
50	0.8060003859	0.703262544
51	0.8063862628	0.6990217135
52	0.8087015242	0.6905325158
53	0.8098591549	0.6829361295
54	0.8129461702	0.6702237653
55	0.8159849508	0.6659257503
56	0.8168049392	0.6610134507
57	0.8172390507	0.6582994058
58	0.8192166699	0.6518516062
59	0.8204707698	0.6457050374
60	0.8215801659	0.642303037
61	0.8223036851	0.6376935225
62	0.8246189466	0.6319714089
63	0.8255836388	0.6255536618
64	0.8270789118	0.6188954481
65	0.8283330118	0.6132803079
66	0.8292494694	0.6100833517
67	0.8300212232	0.6076063818
68	0.8316612001	0.599220295
69	0.8332047077	0.595705386
70	0.8338317577	0.5904781482
71	0.8363881922	0.5871917884
72	0.836532896	0.5829184089
73	0.8375458229	0.5764998609
74	0.8390410959	0.5732032795
75	0.8428516303	0.5646816742
76	0.8433822111	0.559679594
77	0.8447327802	0.5561231392
78	0.8465174609	0.5528983444
