iter	Passed	Remaining
0	11	23151
1	23	23266
2	33	22148
3	42	21316
4	54	21628
5	63	21266
6	74	21188
7	85	21338
8	99	22101
9	113	22637
10	131	23742
11	142	23648
12	154	23651
13	168	23972
14	183	24312
15	201	24944
16	211	24726
17	223	24556
18	232	24264
19	243	24059
20	262	24694
21	273	24595
22	284	24439
23	296	24404
24	307	24254
25	317	24136
26	329	24096
27	340	23999
28	351	23877
29	361	23762
30	373	23715
31	385	23716
32	398	23764
33	409	23682
34	419	23555
35	430	23504
36	443	23518
37	454	23447
38	466	23442
39	482	23625
40	497	23755
41	508	23704
42	525	23937
43	543	24173
44	554	24098
45	566	24063
46	581	24169
47	593	24144
48	606	24148
49	620	24187
50	632	24181
51	644	24133
52	659	24241
53	672	24239
54	687	24320
55	708	24587
56	720	24543
57	731	24489
58	743	24465
59	752	24342
60	765	24333
61	778	24342
62	795	24463
63	809	24480
64	823	24513
65	836	24517
66	848	24486
67	860	24450
68	875	24501
69	888	24488
70	899	24451
71	913	24454
72	926	24445
73	940	24483
74	952	24457
75	966	24458
76	979	24461
77	992	24463
78	1004	24435
79	1017	24428
80	1030	24410
81	1042	24383
82	1055	24389
83	1067	24357
84	1078	24287
85	1089	24242
86	1102	24251
87	1113	24194
88	1125	24159
89	1138	24159
90	1148	24099
91	1160	24075
92	1175	24100
93	1187	24078
94	1198	24035
95	1274	25271
96	1315	25810
97	1330	25832
98	1349	25913
99	1365	25946
100	1378	25916
101	1389	25857
102	1402	25824
103	1416	25821
104	1427	25765
105	1439	25721
106	1451	25678
107	1463	25631
108	1474	25586
109	1485	25525
110	1496	25471
111	1508	25423
112	1520	25387
113	1531	25340
114	1541	25271
115	1554	25245
116	1565	25197
117	1578	25168
118	1588	25105
119	1599	25063
120	1612	25045
121	1624	25000
122	1636	24971
123	1646	24913
124	1657	24864
125	1670	24841
126	1684	24841
127	1699	24860
128	1712	24838
129	1727	24845
130	1739	24820
131	1757	24870
132	1770	24850
133	1783	24839
134	1795	24799
135	1805	24743
136	1817	24719
137	1830	24699
138	1841	24657
139	1851	24595
140	1863	24574
141	1878	24574
142	1890	24552
143	1902	24518
144	1913	24484
145	1927	24471
146	1938	24432
147	1950	24413
148	1965	24417
149	1977	24383
150	1989	24356
151	2000	24319
152	2012	24289
153	2023	24257
154	2036	24241
155	2051	24254
156	2066	24255
157	2079	24240
158	2091	24213
159	2102	24175
160	2116	24178
161	2130	24172
162	2143	24159
163	2161	24203
164	2177	24215
165	2189	24190
166	2200	24157
167	2214	24145
168	2227	24129
169	2240	24118
170	2251	24078
171	2262	24046
172	2275	24029
173	2288	24016
174	2298	23973
175	2310	23950
176	2324	23936
177	2335	23905
178	2353	23942
179	2363	23901
180	2375	23874
181	2387	23847
182	2399	23819
183	2410	23793
184	2422	23763
185	2433	23731
186	2445	23711
187	2466	23775
188	2478	23751
189	2492	23740
190	2505	23725
191	2517	23708
192	2530	23688
193	2541	23659
194	2552	23625
195	2562	23583
196	2572	23548
197	2584	23525
198	2595	23489
